industry,year,benefit,perk_beta,perk_se,perk_pvalue,n_obs
Manufacturing,2023,PARENTAL_LEAVE,0.08594805155823902,0.6482763845527041,0.8945260768986164,1048
Manufacturing,2023,CULTURE,1.0483214153843845,0.449279302569554,0.01963030208717545,1048
Manufacturing,2024,PAID LEAVE,-0.2669109347656865,0.45616528470672535,0.558467763737173,921
Manufacturing,2024,PARENTAL_LEAVE,0.8776961537966322,0.4879952461530885,0.07208590119994107,921
Manufacturing,2024,CULTURE,1.0667948010729442,0.4524552811933247,0.018384060735103094,921
Manufacturing,2024,REMOTE_KW,0.16860262135947984,0.6502253852470924,0.7954047535849311,921
Manufacturing,2025,EDU_ASSISTANCE,0.054065030161870614,0.35333105370625584,0.8783862700285826,995
Manufacturing,2025,PAID LEAVE,0.05028036532163196,0.2975201510681719,0.8657980695810195,995
Manufacturing,2025,PARENTAL_LEAVE,-0.05044407028539242,0.3967572804965142,0.8988288954324783,995
Manufacturing,2025,CULTURE,0.2385790863009803,0.34735125937541184,0.4921756724259657,995
Manufacturing,2025,REMOTE_KW,-0.06535914432056335,0.4071733036273057,0.8724720763387103,995
Other Services (except Public Administration),2025,PAID LEAVE,0.7139496245300245,1.0034901180031854,0.47679518908665075,294
"Professional, Scientific, and Technical Services",2018,PAID LEAVE,-0.0899042106638403,1.059154997812301,0.9323544393271386,943
"Professional, Scientific, and Technical Services",2019,EDU_ASSISTANCE,1.049098457017869,0.7998911563585679,0.18967150175505887,1000
"Professional, Scientific, and Technical Services",2019,PAID LEAVE,-1.0522510131969764,1.0367556036914651,0.31013154138057275,1000
"Professional, Scientific, and Technical Services",2020,PAID LEAVE,0.5525187894071695,0.48888544497448794,0.2584087983453459,993
"Professional, Scientific, and Technical Services",2021,PAID LEAVE,-0.6853426458594744,0.6250997009068173,0.2729154267760372,1238
"Professional, Scientific, and Technical Services",2021,CULTURE,0.8651039959849551,0.46295395728130145,0.061669995840301105,1238
"Professional, Scientific, and Technical Services",2022,PAID LEAVE,-0.05202592509181903,0.3897211642538595,0.8938017188976534,1325
"Professional, Scientific, and Technical Services",2022,CULTURE,0.3370311004929652,0.372537723102706,0.3656297146032823,1325
"Professional, Scientific, and Technical Services",2022,REMOTE_KW,1.1996082078817394,0.33041706030376444,0.00028277628984512435,1325
"Professional, Scientific, and Technical Services",2023,PAID LEAVE,0.6105655330244562,0.33396268628058884,0.06751282534898008,1184
"Professional, Scientific, and Technical Services",2023,PARENTAL_LEAVE,0.42840150126391563,0.4988003641885502,0.39041574629543796,1184
"Professional, Scientific, and Technical Services",2023,CULTURE,-0.048630349310511155,0.4359680134976658,0.9111836427539456,1184
"Professional, Scientific, and Technical Services",2024,EDU_ASSISTANCE,0.4581886476292977,0.5111927585252226,0.37008568825152466,968
"Professional, Scientific, and Technical Services",2024,PAID LEAVE,0.415362099548378,0.3400876551817164,0.2219579344927145,968
"Professional, Scientific, and Technical Services",2024,HEALTH_WELLBEING,0.009675872827227858,0.6240620610891341,0.9876295632811289,968
"Professional, Scientific, and Technical Services",2024,CULTURE,0.7737789264103202,0.3637810136108484,0.0334162666948205,968
"Professional, Scientific, and Technical Services",2024,REMOTE_KW,0.3105079455489559,0.4029927199776128,0.44100033160608,968
"Professional, Scientific, and Technical Services",2025,PAID LEAVE,-0.4094459548164434,0.28195462661820875,0.146454436033203,1077
"Professional, Scientific, and Technical Services",2025,HEALTH_WELLBEING,0.20622959367364063,0.438257448421131,0.6379498135266182,1077
"Professional, Scientific, and Technical Services",2025,PARENTAL_LEAVE,-0.18664057529102865,0.43120067729669,0.6651315606998978,1077
"Professional, Scientific, and Technical Services",2025,CULTURE,0.32809898755649813,0.32759731304172796,0.31656997920921426,1077
"Professional, Scientific, and Technical Services",2025,REMOTE_KW,0.6875975289235458,0.29510815070570007,0.019806950302549767,1077
Public Administration,2021,PAID LEAVE,-58.15905614576357,3882525988107.3755,0.9999999999880479,268
Real Estate and Rental and Leasing,2022,REMOTE_KW,-44.159045160330706,5609848442.445968,0.9999999937192919,275
Real Estate and Rental and Leasing,2025,PAID LEAVE,0.6178526034507362,0.9501298107820638,0.5155098848885256,263
Real Estate and Rental and Leasing,2025,PARENTAL_LEAVE,1.499559344076947,0.964758353859569,0.1201041167870612,263
Retail Trade,2023,PAID LEAVE,0.0913924452383784,1.296590133347425,0.9438062336070324,1366
Retail Trade,2023,CULTURE,-0.14973374845232432,1.2707688197953764,0.9062029456681093,1366
Retail Trade,2025,EDU_ASSISTANCE,-0.14702569888783823,0.6219846890346695,0.8131366190088163,1303
Retail Trade,2025,PAID LEAVE,-0.03226581493920558,0.5036232125367528,0.9489165830356268,1303
Retail Trade,2025,PARENTAL_LEAVE,0.7710209374867484,0.6232249331243501,0.2160324653055279,1303
Transportation and Warehousing,2025,PAID LEAVE,-41.177733412747784,796682547.5850676,0.9999999587601387,350
Wholesale Trade,2018,EDU_ASSISTANCE,-41.757610099800836,6632053091.021689,0.9999999949762537,300
Wholesale Trade,2024,EDU_ASSISTANCE,1.481643177502767,1.0004785241945173,0.1386240246352686,403
