,Benefit,Occupation,Year,AI Coefficient,Error,P-Value
71,wfh_wham,Personal Care and Service Occupations,2023,1.284975630787125,0.6310107052177605,0.042
72,wfh_wham,Production Occupations,2019,-0.4187019655961711,0.7215209085940165,0.562
73,wfh_wham,Production Occupations,2021,0.8826984429678527,0.21315830391021795,0.0
74,wfh_wham,Production Occupations,2022,1.3065035176857436,0.16251672393526,0.0
75,wfh_wham,Production Occupations,2020,0.4950634200276067,0.3408777248971296,0.146
76,wfh_wham,Production Occupations,2018,,,
77,wfh_wham,Production Occupations,2023,0.69973849280787,0.22852614101058788,0.002
78,wfh_wham,Sales and Related Occupations,2019,0.6324778116667353,0.11681619251673106,0.0
79,wfh_wham,Sales and Related Occupations,2021,0.9586826967173282,0.07584522246781909,0.0
80,wfh_wham,Sales and Related Occupations,2022,0.859988082737919,0.07633491547915004,0.0
81,wfh_wham,Sales and Related Occupations,2020,0.5518851096364921,0.10033982529335725,0.0
82,wfh_wham,Sales and Related Occupations,2018,,,
83,wfh_wham,Sales and Related Occupations,2023,1.248345324995277,0.09237956142269589,0.0
84,wfh_wham,Transportation and Material Moving Occupations,2019,-18.205487999576206,17234.76455044988,0.999
85,wfh_wham,Transportation and Material Moving Occupations,2021,0.533100740446289,0.5270708028276737,0.312
86,wfh_wham,Transportation and Material Moving Occupations,2022,1.8834198094542192,0.29923589628636854,0.0
87,wfh_wham,Transportation and Material Moving Occupations,2020,-11.442226884022066,437.5772583327392,0.979
88,wfh_wham,Transportation and Material Moving Occupations,2018,,,
89,wfh_wham,Transportation and Material Moving Occupations,2023,0.5972954201860597,0.5495207620050522,0.277
